vessel,stationid,stratum,latitude,longitude,priority
OEX,426-78,251,55.5646,-134.8012,HIGH
1,427-83,151,55.78172,-134.7187,HIGH
1,427-80,251,55.6513,-134.7187,HIGH
OEX,427-82,251,55.73709,-134.7187,HIGH
OEX,428-87,151,55.96721,-134.636,HIGH
OEX,428-89,350,56.04383,-134.636,HIGH
OEX,428-71,351,55.26894,-134.6209,HIGH
OEX,429-74,151,55.3918,-134.5532,HIGH
OEX,429-80,251,55.6513,-134.5532,HIGH
1,430-81,251,55.67946,-134.4707,HIGH
OEX,432-64,251,54.96302,-134.3057,HIGH
1,433-88,50,56.00002,-134.223,HIGH
1,433-77,151,55.52132,-134.223,HIGH
OEX,433-75,151,55.43493,-134.223,HIGH
1,435-78,151,55.5646,-134.0577,HIGH
OEX,435-72,151,55.3057,-134.0577,HIGH
1,436-83,251,55.77051,-133.9835,HIGH
OEX,436-72,151,55.3057,-133.975,HIGH
OEX,436-79,151,55.60831,-133.975,HIGH
1,437-78,50,55.5646,-133.8923,HIGH
OEX,438-57,251,54.66558,-133.8097,HIGH
1,439-65,151,55.0057,-133.727,MEDIUM
OEX,440-63,151,54.9204,-133.6442,HIGH
OEX,440-53,251,54.49657,-133.6442,HIGH
1,442-65,151,55.0057,-133.4792,HIGH
OEX,442-78,50,55.5646,-133.4792,HIGH
OEX,442-55,350,54.58097,-133.4792,HIGH
OEX,443-78,50,55.57518,-133.3968,HIGH
1,443-67,151,55.08548,-133.3879,HIGH
1,445-55,350,54.58409,-133.2313,HIGH
